Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3,telp4,telp5,telp6,telp7
LIONEL EXPRESS,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
Lionel Express adalah perusahaan yang bergerak di bidang Jasa Ekspedisi dan pengiriman barang. Kami melayani Jasa Ekspedisi dan Pengiriman Barang melalui Jalur Darat, Laut dan Udara.
Berdiri sejak tahun 2015, dan pengalaman para pendirinya kurang lebih 20 tahun dalam bidang jasa ekspedisi dan pengiriman barang, Lionel Express hadir sebagai solusi utama untuk pengiriman anda.
Kami beroperasi 24 Jam setiap harinya untuk melayani pengiriman ke seluruh kota besar Indonesia, Pelayanan lengkap, Lead time tepat waktu, dan tariff yang sangat kompetitif.
Bagi kami, kepuasan pelanggan adalah nomer satu!
LIONEL EXPRESS Your Delivery Solution! ","
              HQ Office:Duta Garden Square, Ruko, Jl. Husein Sastranegara No.11-12, RT.027/RW.008, Jurumudi, Benda, Tangerang City, Banten 15124, IndonesiaOperational Office :APSARANA RA WAREHOUSE Cargo Area Airport Soekarno Hatta, Terminal Cargo, RT.001/RW.010, Pajang, Benda, Tangerang City, Banten 15124            ",Tangerang,Banten,083807800278,+81 3-8204-9935,+81 28-948-1111,,,,
CV. BLATINDOPUTRA,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Perusahaan kami CV. Blatindoputra Utama merupakan perusahaan yg bergerak dibidang Supplier Industri. Kami sudah bekerjasama dengan beberapa perusahaan. Sehubungan dengan itu, kami bermaksud untuk menjadi supplier di perusahaan Bapak/ Ibu. Harapan kami, penawaran ini dapat terwujud dalam bentuk kerjasama sehingga dapat menguntungkan kedua belah pihak. Adapun produk yg akan kami sediakan adalah ( terlampir beberapa brosur produk) : 1. Material Handling Equipment • Hand Pallet Truck • Hand Trolley • Drum Handler dan Drum Porter • Stacker ( Manual, Semi Electric, dan Full Electric) • Hoist 2. Roda - Aneka Macam Roda 3. Filter • Filter Oli • Filter Udara • Filter Separator Air Oil 4. Tools            ","
              Plaza Merdeka (Harkot) JL. Merdeka Raya No. 53 Blok D7/ 2            ",Tangerang,Banten,None,None,None,,,,
Toko Kareem,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Jual Sembako Murah dari Bulog-  Minyak Goreng-  Beras Premium-  Gula-  Tepung Terigu-  Daging Sapi-  Daging Kerbau-  Bawang Merah-  Bawang Putihdll            ","
              Jl Anggur V Pamulang Permai 1 Blok A36 No.3 Pamulang Tangerang Selatan            ",Tangerang Selatan,Banten,+62 850-7805-103,None,None,,,,
CV.PASAMAN INDAH EXPRESS,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
CV. Pasaman Indah Express perusahaan jasa angkutan bergerak di bidang angkutan barang seperti pupuk pertanian, barang dan hasil perkebunan- pabrik kelapa sawit, barang pindahan, sepeda motor, spare part, alat berat, barang pertokoaan, plastik, dengan harga bersaing dan ekonomis. Armada kami meliputi Truk fuso, Canter, Tronton dll nyaJasa angkutan via darat yang berkantor pusat di kota medan melayani pengiriman barang murah dari medan ke madina - simpang gambir - silaping - tiku -air balam - air bangis - ujung gading - simpang 3 alin - simpang empat - kinali - RAO - Tapus -Panti  lubuk sikaping - lubuk basung - bukit tinggi - lubuk alung - maninjau - pasaman barat - pasaman timur - agam- padang pariaman- padang - pesisir selatan - damasraya dan wilayah sumatera barat lain nya.Hubungi Kami :CV. PASAMAN INDAH EXPRESSJl. Letda Sujono No.53 Kel. Tembung, Medan Tembung, MedanIndonesia 20223Phone : 082161006900 / 081361096900 ( Call )Whatsapp : 082161006900Website : www.pasamanindah.com
  ","
              Jl. Letda Sujono No 53 Kel. Tembung, Medan Tembung            ",Medan,Sumatera Utara,+62 821-6100-6900,None,None,,,,
PT. INTI LOGISTIC,"
PREMIUM RUBY
",Kargo & Logistik,"
              CARGO AGENT IMPORT DOOR TO DOOR SERVICE SPECIALIST INTI LOGISTIC BERDIRI SEJAK TAHUN 2002 DAN SAAT INI MELAYANI IMPORT DOOR TO DOOR SERVICES DARI SELURUH NEGARA KE JAKARTA ATAU KOTA-KOTA LAIN DI INDONESIA. JASA YANG KAMI LAYANI MELIPUTI: Import door to door, Import cargo to Indonesia, Import cargo Singapore to Jakarta, Cargo import borongan, Import services to Indonesia, Services door to door Singapore – Indonesia Door to door, services Singapore to Jakarta, door to door Singapore to Jakarta, import door to door, Import door to door services, Jasa import borongan, Import borongan, Jasa door to door Singapore to Jakarta, Door to door USA to Jakarta, Door to door China to Jakarta, Cargo door to door to Jakarta, Import cargo to Jakarta, Import cargo to Indonesia Door to door services to Indonesia, import borongan door to door, cargo import door to door forwarding, door to door Ex-works System atau Port to DOOR system Kami akan mengurus pick up di Negara asal dan juga pengurusan customs dan handling di negara asal dan mengirimkan Langsung ke alamat anda baik melalui air freight atau sea freight ( LCL/ FCL) . ALL IN RATE Rate yang kami berikan 1 paket rate dimana rate tersebut sudah termasuk • Biaya pengambilan barang di Negara asal • Penanganan jasa Custom dari Negara asal • Biaya gudang dan biaya pelabuhan di port Negara asal • Biaya pengiriman baik udara atau laut • Jasa custom handling di Indonesia • Biaya import dan pajak ( BEA MASUK, PPN, PPH) di Indonesia • Biaya gudang atau biaya pelabuhan di pelabuhan Indonesia • Biaya transportasi dari pelabuhan atau bandara ke alamat client. Jenis Barang Import Door to Door yang kami handle: All commodity ( kecuali perishable goods dan forbidden goods) Negara-negara yang selama ini pernah kami handle: 1. Import DOOR TO DOOR from USA ( Amerika Serikat) 2. Import DOOR TO DOOR from Canada 3. Import DOOR TO DOOR from Germany 4. Import DOOR TO DOOR from Austria 5. Import DOOR TO DOOR from UK 6. Import DOOR TO DOOR from Italy 7. Import DOOR TO DOOR from Netherland ( Belanda) 8. Import DOOR TO DOOR from France 9. Import DOOR TO DOOR from Portugal 10. Import DOOR TO DOOR from Spanyol 11. Import DOOR TO DOOR from Rusia 12. Import DOOR TO DOOR from Swiss 13. Import DOOR TO DOOR from Turky 14. Import DOOR TO DOOR from Denmark 15. Import DOOR TO DOOR from Australia 16. Import DOOR TO DOOR from Japan 17. Import DOOR TO DOOR from Taiwan 18. Import DOOR TO DOOR from Hong Kong 19. Import DOOR TO DOOR from China 20. Import DOOR TO DOOR from Korea 21. Import DOOR TO DOOR from USA 22. Import DOOR TO DOOR from Malaysia 23. Import DOOR TO DOOR from Thailand 24. Import DOOR TO DOOR from Vietnam 25. Import DOOR TO DOOR from Singapore 26. Dan banyak lagi For more details for your IMPORT Door to Door solution, Please contact: PT. Inti Logistic Grand Dhika City

Kirana Two Tower, Level 10-A Jl. Boulevard Timur No.88, Kelapa Gading - Jakarta 14250
WhatsApp : 0813 9921 7574

Email: info@ intilogistic.co.id            ","
              Grand Dika Citu Suite 2007 Jl.  H Joyomartono Exi Tol Timur BekasiWhatsApp : 0813 9921 7574            ",Bekasi,Jawa Barat,+62 813-9921-7574,None,None,,,,
CV. Berkah Anugerah Nathanurang,"
PREMIUM BLUE ONYX
",Kargo & Logistik,"
              Penyewaan Mobil Box dan Blinkvan, Grand Max Box, CDD dan CDE dengan sistem sewa bulanan maupun tahunan lepas kunci atau dengan supir (Kami juga siap melayani dengan sistem drop off (sistem dedicate).PIC : A. Hutahean (0812 8097 2540)            ","
              Vila Mutiara Gading 3 Blok A10 No.3 Kebalen bekasi            ",Bekasi,Jawa Barat,None,None,None,,,,
Arisjaya CArgo,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
Perusahaan kami siap melayani kebutuhan dengan pelayanan jasa Cargo ke seluruh indonesia, kami sudah berpengalaman sejak tahun 2009 tentunya sangat bisa dipercaya untuk anda semua .Jangan ragu lagi untuk anda percayakan ke kami untuk pengiriman ke seluruh indonesia ,tentunya para pekerja kami sudah sangan berpengalaman dan bekerja dengan profesional.  ","
              Jalan Permai 29 No. 3 Ds. Mekar Rahayu Kec. Marga Asih, Kabupaten Bandung            ",Bandung,Jawa Barat,+62 813-1204-6267,None,None,,,,
JASA EKSPEDISI DARAT-LAUT-UDARA,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"

PUSATKARGO adalah anak usaha dari KINEXLOGISTCS yang bergerak dibidang jasa kurir/pengiriman barang paket/rite, pengepakan, pergudangan, pindahan dan trucking.

 
PUSATKARGO didirikan secara khusus untuk melayani pengiriman barang paket/ritel tujuan domestik dan internasional untuk mendukung berjalannya perdagangan e-commerce yang sekarang ini berkembang pesat.
Dengan dukungan SDM yang berpengalaman dan networking kemitraan, keagenan serta perwakilan yang luas PUSATKARGO dapat menjangkau layanan pengiriman sampai ke pelosok Nusantara, baik pengiriman darat, laut, udara. Fasilitas yang kami miliki seperti gudang, lokasi, armada truk sendiri yang menggunakan system monitoring GPS Tracking akan memberikan output yang baik bagi pelanggan ","
              Jl. Cut Mutia Komplek Ruko Mitra Plaza Blok A No. 23 Sepanjang Jaya  Kota BekasiTel. +62-21-82763238, +62-812 1000 3238, +62-822 1000 3238Email : riwando@pusatkargo.comwww.jasaekspedisi.comwww.pusatkargo.com            ",Kota Bekasi,Jawa Barat,+62 812-1000-3238,None,None,,,,
PT. Mega Trans Jaya,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Mega trans Jaya adalah suatu perusahaan yang bergerak pada bidang jasa pengiriman barang , moving, warehousing, jasa pelayanan cargo services, baik pengiriman antar kota / handling daerah, dalam satu pulau maupun pengiriman antar pulau (INTERSULER), yang mencakup pengiriman barang dengan sistem lepas (BREAK BULK), melalui peti kemas LCL / FCL, pengiriman barang melalui truk (TRUCKING), dengan service port to port ataupun door to door.Mega Trans Jaya menawarkan sekian banyak Layanan Opsional, mulai dari pengiriman non-standar dan opsi penagihan hingga pengiriman netral karbon. Dengan pilihan yang fleksibel peningkatan layanan, kenyamanan anda bertambah ketika menggunakan layanan kiriman cepat kami.FEATURESMeningkatkan pelayanannya melalui penyambungan Network / Jaringan yang berbasis pada Informasi Teknologi (IT) yang diharapkan dapat memuaskan client/customer.1. Harga yang kompetitif solusi yang efektif dan efisiensi dalam pengiriman cargo yang berbasiskan pada informasi dan teknologi guna menghadapi tingkat persaingan di era globalisasi saat ini.2. Service yang memuaskan solusi efisiensi dan tepat waktu, dengan standart pelayanan yang tinggi serta inovatif dan praktis.3. Jaringan yang luas Kantor Agent perwakilan tersebar diseluruh wilayah Indonesia menjadi pilihan terbaik jasa pengiriman dan penanganan barang-barang cargo.4. Armada Keselamatan pengiriman barang dengan prasarana yang telah kami miliki sebagai berikut : Fuso Bak, Cdd Box, Cde Box, Grand Box, GrandMax Bak, Granmax blindvan dan Sedepa Motor.5. SDM yang profesional Memiliki Tenaga Ahli yang Professional dan berpengalaman di core bisnis cargo serta dapat memberikan layanan yang cepat dan tetap waktu sesuai dengan moto Kami.6. Layanan Kedepannya selalu untuk terus meningkatkan mutu pelayanannya dan menjadi jawaban atas pengiriman dan penyimpanan barang-barang cargo.Dengan adanya desakan kebutuhan pelayanan jasa pengiriman dirasakan terus meningkat dan dibutuhkan dari waktu ke waktu, maka kami akan menjawab kebutuhan tersebut dengan tenaga ahli yang professional dan berpengalaman di core bisnis cargo serta dapat memberikan layanan yang cepat dan tepat waktu Mega trans jaya merupakan solusi tepat untuk mitra pengiriman paket barang dokumen anda ke seluruh indonesia ataupun export-import.HUBUNGI KAMI DI :Budiarto IrawanMobile : 0877 1812 3567 // 0822 9912 3789Email : budiarto@megatransjaya.comHead Office :Jl. Melong Tengah No.139 B – BandungTelp : 022 -2056-3056Operasional :Perkantoran Bandara Husein Sastranegara Lt.2 No.33 BandungTelp : 022-860 60018Website : www.megatransjaya.com // www.megatranscargo.com ","
              Jl. Melong Tengah No.139 B            ",Bandung,Jawa Barat,+62 822-9912-3789,None,None,,,,
PT. Hudaya Maju Mandiri,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Penjelasan Ringkas Hudaya Maju Mandiri, PT located in Cibitung has its business generally in commerce automotive trading and specificly as a dealer for Hino Automotive products. The company covers trading of vehicle units, spare parts and services. The business path we provide is in conformity with the products manufactured by PT. Hino Indonesia Manufacturing and our principle's, Hino Japan. Company History Hudaya Maju Mandiri, PT was established in 1996 in Jakarta (Notary Soekaimi SH Jakarta No. 101 dated 15 April 1996) with 5 staffs, and we started our business in selling units. Hudaya Maju Mandiri, PT is one of a branch company under PT. Mayasari Bakti, the holding company owned by Mr. H. E. Mahfud. To run the business of Hudaya Maju Mandiri, PT. Mr. H. E. Mahfud had assigned Mr. H. Bambang Risyana as the Chief Director, Mr. Zulfikar Pujiadi H as Finance Director and Mr. Rudy Ferdian as Marketing Director. Year 1997 - 1998 In early 1997 Hudaya Maju Mandiri, PT moved its location to Bekasi area, Kompleks Bekasi Mas Blok B No. 15, Jl. A. Yani - Bekasi, In the period of 1997 the company had reached its best marketing with sales of 235 units, This was happened caused by the increament of staff numbers, specially in marketing department. Unfortunately, when the crisis which effected most of the economy sectors of the whole nation in Indonesia came, the company's business was effected badly. In 1998 the sales was dropped down to the number of just 50 units. In this period, in order to increase the earnings, the company has expanded its sales by selling the spare parts and hired some another staffs. Year 1999 - 2000 In 1999 the company's commerce automotive trading was going down, the sales just reached the number of 56 units. In 2000 the company increased the sales with new customers and by recovery of politic and economy situation in Indonesia, our sales gained a good result. Year 2001 - 2002 In 2001 the company's financial situation was starting better, so then the company hired some others staffs and expanded the business again by having a new division: services, specially for Hino products. In 2002 Hudaya Maju Mandiri, PT obtained the best sales of Hino dealer all over Indonesia. Untuk pemesanan silahkan hubungi kami dialamat email : hinosalesteam@ gmail.com Anda juga bisa kontak kami jika ingin konsultasi lebih lanjut dengan saudara Rino Hino di no Hp: 0818-727690 / 0812-99023578            ","
              Jl. Raya Jakarta Bogor km 47,5 Cibinong Bogor 16912

Jl. Raya Teuku Umar KM. 44 Cikarang Barat-Bekasi 17520            ",Bogor,Jawa Barat,0818727690,+81 299-02-3578,None,,,,
