Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
CV. JAYA MAKMUR ABADI,"
PREMIUM RUBY
",Perlengkapan Restaurant,"
CV. Jaya Makmur Abadi, perusahaan yang bergerak dibidang perdagangan umum Material Konstruksi & material lainnya, dan telah berpengalaman lebih dari 10 Tahun. 
Berdiri sejak Tahun 2005 dengan nama Jaya Makmur Abadi, dan diresmikan pada tahun 2010 oleh notaris Edward Agustin menjadi CV. Jaya Makmur Abadi. 
CV. Jaya Makmur Abadi bekerja sama dengan beberapa Pabrik & Distributor Material dan hingga kini sudah melayani lebih dari 900 pelanggan, yang terdiri dari pelanggan pribadi/perusahaan baik dari dalam & luar daerah di Indonesia. 
 
Visi & Misi : 


Menciptakan sistem perusahaan yang sistematis & fleksibel dalam hal pelayanan.
Menciptakan lapangan kerja & Sumber daya Manusia yang terampil, profesional& handal. 
Menciptakan pelayanan & kerjasama yang berkesinambungan dengan pelanggan.
Menjadi perusahaan multinasional yang dapat memberi sumbangsih terhadap perekonomian di Indonesia. 

CV. Jaya Makmur Abadi.General Supplier & Trading : Besi Beton & Baja. Rangka Baja Ringan & Atapnya.Aluminium Kusen Pintu & Jendela.Plywood & Kayu lainnya.Pipa Paralon & Pipa Lainnya. 
Keramik & Granit.Perlengkapan Sanitary. Aksesories Pintu & Jendela.
Segala jenis Kaca Bangunan.Aluminium Composite Panel.Kawat Baja & Besi. 
Karpet Import & VINYL. Kusen, Pintu & Jendela Kayu. Windows Fashion.Mekanikal Elektrikal.Meubelair Kantor & Sekolah.
Pipa HDPE.Pipa Air Panas.HPL.Cat.Pipa Gorong-Gorong.Plat Kapal.Dll.
Untuk melengkapi kebutuhan pelanggan, kami juga menyediakan Jasa Kontraktor, Jasa Arsitek & Jasa Konsultan.
Untuk informasi lebih jelas, dapat menghubungi Marketing kami.
Terima kasih. www.jayamakmurabadi.co.id
CV. Jaya Makmur Abadi 
Jl. Brigjend Katamso No. 2 Samarinda. Kalimantan Timur 75117.Telp : 0541-7802915Fax. : 0541-766315Email : sales@jayamakmurabadi.co.id
 

 
 ","
              Head Office :Jl. Brigjend Katamso No. 2. Samarinda. Kalimantan Timur ",Samarinda ,Kalimantan Timur,+62 823-5215-3244,+62 813-4942-8940,+62 852-4900-5619
PT. Bersama Maju Selaras,"
PREMIUM RUBY
",Perlengkapan Restaurant,"
              PT. Bersama Maju Selaras merupakan perusahaan yang bergerak di bidang Kitchen Equipment dan kami merupakan distributor peralatan dapur dan restoran.Kami menyediakan berbagai macam kebutuhan perlengkapan dapur mulai dari penghisap asap dapur lengkap, jual peralatan masak restoran, jual chiller murah Jakarta, jual freezer murah lengkap, jual peralatan dapur hotel, jual meja stainless Jakarta dan merupakan distributor peralatan dapur stainless.Kami sudah banyak memegang berbagai vendor perusahaan untuk melengkapi kebutuhan peralatan dapur seperti restoran, cafe, hotel dll.            ","
              Ruko Golden Madrid 2, Blok H 6-7 Jl. Letnan Sutopo, Bumi Serpong Damai (BSD)Tangerang 15318Telp (021)53167770.  Hp .0816952995            ",Tangerang,Banten,+62 816-952-995,None,None
zeropromosi,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
              Perkenalkan kami Zeropromosi.com merupakan penyedia aneka souvenir seperti: - souvenir kantor - souvenir ultah - souvenir pernikahan Produk kami terdiri dari flashdisk, payung, tumbler, pulpen, mug/gelas, powerbank, tali id card dan banyak lainnya Kami sudah berpengalaman dibidang barang promosi & souvenir dengan selalu memenuhi deadline yang ketat serta yang tidak kalah penting adalah HARGA KOMPETITIF. Min order 100pcsharga blm termasuk cetakJika ada yang belum jelas dan ingin ditanyakan bisa langsung menghubungi kami di:mkt 1 WA / Tlp : 0877 8186 7176mkt 2 WA / Tlp : 0877 8185 7176Email : zeropromosi@gmail.comLine : @zeropromosi (harus pake @)            ","
              Jl. Arcadia Daan Mogot Blok H7 No.16,  Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia            ",Tangerang,Banten,087781857176,087781867176,081808064176
PT. KAHA BERKAH MANDIRI,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
PT KAHA BERKAH MANDIRI didirikan pada akhir tahun 2019 dan mulai resmi beroperasi sejak awal tahun 2020.
PT KAHA BERKAH MANDIRI didirikan sebagai perusahan distributor produk chemicals dengan merk dagang “FASTCHEM”. Dengan spesifikasi produk Cleaning and Maintenance Chemicals for Industrial. Produk kami meliputi antara lain Degreaser, Cleaner & Remover, Anti Rust, Specialty Chemical, Boiler & Cooling Water Treatment Chemical, Maintenance Chemical, Aerosol Products , etc. Dan juga senagai perusahaan general trading berbagai kebutuhan industri.  Selain sebagai perusahan trading, PT KAHA BERKAH MANDIRI juga bergerak dalam bidang jasa cleaning dan overhaul antara lain :
1. Chemical Cleaning (descaling),  service & overhaul untuk Boiler, Cooling Tower, Chiller, Heat Exchanger, dsb.
2. Chemical Cleaning (descaling),  service & overhaul untuk LPG Vaporizer.
Company Profile ini kami maksudkan untuk sekedar memberikan gambaran dan referensi secara garis besar mengenai produk dan jasa yang kami berikan. Apabila Anda mempunyai kesulitan dalam pemakaian / penggunaan chemical , atau yang berhubungan dengan chemical, maka jangan sungkan-sungkan hubungi kami.
Demikian kami berharap perusahaan Anda dapat berkenan untuk menjalin kerjasama dengan kami.
  
Salam,
PT. KAHA BERKAH MANDIRI
 
Jl. Ekaliptus III Blok LF No.57 Bumi Indah 5 Pasar Kemis Tangerang Telp. 021-59715605, 0813-1142-6585 Email : kahaberkah@yahoo.com   ","
              Jl. Ekaliptus III Blok LF No. 57 Bumi Indah 5 Sukamantri Pasar Kemis Kab. Tangerang            ",Kab. Tangerang,Banten,+62 813-1142-6585,None,None
PT.MULTI INDOJAYA MAKMUR,"
PREMIUM BLUE ONYX
",Perlengkapan Restaurant,"
Specialised in: Pass Box, Air Shower, Ribbon Mixer, Scrub Sink Automatis, Conveyor: belt, bucket, spiral, curve, modular, wiremesh, table top chains. Storage tank, double jacket tank, mixing tank, alat-alat dan mesin-mesin dari stainless 316 dan 304. kebutuhan untuk rumah sakit dari bahan stainless, sudah ada izin resmi dari kementeriaan Kesehatan RI.Sertifikat Produksi Alat Kesehatan no. FK.01.02/VI/597-e/2020, ESUKA: untuk Pass box no. FR.03.02/VA/3186/2020, untuk Scrubsink no. FR.03.02/VA/3298/2020, untuk Air Shower no.FR.03.02/VA/3483/2020 dan register untuk brand MIM no.D002018035244/252. Pabrik kami cukup lengkap dari fasilitas tempat, mesin-mesin dan pendukung lainnya. Dengan tenaga ahli sesuai dengan bidang usaha kami.Kontak kami :PT. Multi Indojaya MakmurJl. Raya Cikeas Bojongnangka Kp. Tlajung  RT. 003  RW. 011  No. 40Desa Cikeas Udik   Kec. : Gunung Putri,  Bogor, Jawa Barat  16966Phone   : (021) 8671777 (Hunting)Fax       : (021) 8670517Email   : sales@multiindojaya.co.id // ptmim@airshower.coWebsite: www.multiindojaya.co.id  or  www.ptmim.co Kontak kami ","
              JL. Raya Cikeas Bojongnangka Kp.Tlajung Rt.003 Rw.011 No.40, Desa Cikeas Udik,Kecamatan Gunung Putri            ",Bogor,Jawa Barat,+62 812-9107-035,+62 877-8141-0378,None
CV. JOANNA MANDIRI PERSADA,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
              PERKENALKAN Kami adalah perusahaan GENERAL TRADING, DISTRIBUTOR DAN SUPPLIER di bidang INDUSTRI MAKANAN SEPERTI- POWDER MILK ( SKIM MILK & FULL CREAM POWDER )- CREAMER LOKAL DAN IMPORT- COCOA POWDER DELFI & BT. COCOA ( PABRIK )- DEXTROSE - MALTODEXTRIN- COFFEE VITENAM SR-1 & CASD 11- COCONUT CREAM POWDER- BAKING POWDER- TEPUNG ROTI- FLAVOUR         Kami selalu bekerja sama dengan beberapa PABRIK INDUSTRI DAN HOME INDUSTRI untuk memberikan order untuk kami pasarkan baik local dan export demi kepuasan customer. Anda bisa mengklik info "" KATALOG PRODUK dan hubungi kami untuk menanyakan informasi yang lengkap , kami akan senang hati untuk menjelaskan nya kapan aja. CARA PEMESANAN : - Pilih jenis yang di minta by katalog product - Expedisi bisa di tentukan oleh pembeli yang di tunjuk atau kami yang atur. - semua harga FRANCO PABRIK/ GUDANG ( belum termasuk ongkos kirim. CARA PEMBAYARAN : - Transfer DP 50% Via BANK BCA atau MANDIRI - Setelah barang jadi dalam waktu tertentu, sisia nya langsung di lunasi - Setelah lunas kami kirim kan no RESI pengirim oleh EXPEDISI ( Nomer berguna   untuk memonitor perjalanan barang ) - Dengan demikian artinya barang sudah di tangan EXPEDISI bukan lagi di tangan kami. TRANSPORTATION : - DAKOTA CARGO VIA DARAT, LUAT DAN UDARA - TIKI/ JNE ( Untuk pengiriman sample via UDARA )       Demikian lah penawaran ini kami tawarkan untuk para customer mudah-mudahan kerja sama ini dapat berjalan dengan lancar. Atas perhatian dan kerja sama nya, kami ucapkan terima kasih. Hormat Kami,CV. JOANNA MANDIRI PERSADA Mobile : 081546137100 Watsapp : 081282680324 E-mail ; zonputra@ gmail.com            ","
              Jl. Jati Kramat Indah II No. 4            ",Bekasi Kota,Jawa Barat,+62 812-8268-0324,None,None
CV. Globalindo Teknik Mandiri,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
CV GLOBALINDO TEKNIK MANDIRIKami merupakan Perusahaan yang bergerak dalam bidang Perdagangan umum, Pabrikasi Mesin, dll.VISI Menjadi dan membuat jaringan sumber distribusi mesin, elektronik, jasa yang dibutuhkan oleh konsumen (masyarakat umum).MISI ° Memberikan kepuasaan dalam pelayanan kepada konsumen/ customer. Selalu berusaha untuk menjadi yang terbaik dalam melakukan suatu hal yang baru agar kebutuhan konsumen/ customer bisa terpenuhi. ° Memberikan kinerja yang tepat waktu sesuai dengan yang dijanjikan dan yang diinginkan pihak konsumen/ customer.Dengan visi dan misi yang telah tercantum di atas anda boleh mempercayakan kepada kami untuk masalah kinerja kami. Pelayanan yang kami berikan kepada konsumen/ customer adalah menjadi hal utama yang kita Prioritaskan dan perhatikan. Menjaga kepercayaan customer itu adalah tanggung jawab kami untuk memberikan pelayanan/ service yang baik. Dengan dedikasi yang kita pelajari dari waktu ke waktu, kita akan selalu menjadi yang terbaik.CV Globalindo Teknik Mandiri terdiri dari beberapa divisi yang fokus dan spesialisasi di produk;- Mesin Marka Jalan dan Kelengkapannya : Mesin marka jalan thermopastic ° Mesin marka jalan coldplastic ( cat dingin) ° Mesin marka jalan screed ° Mesin marka jalan profile ° Mesin marka jalan sprayer coldplastic ° Mesin Preheater ( pengaduk cat thermoplastik) ° Mesin Penghapus Marka Jalan ° Cat Thermoplastik- Peralatan Test Teknik Sipil : Alat Testing Beton, Concrete, Testing Jembatan, Testing Asphal, Testing Aggregate, - Rambu Lalulintas - Rambu Pabrik - Rambu Kerja - Rambu Parkir - Lampu Lalulintas ( Traffic Light) - Delineator Post - Paku Jalan ( Road Stud) - Traffic Cone ( Rubber/ Plastic) - Cermin Lalulintas ( Safety Mirror) - Speed Gun - Road Barrier - Cat Thermoplastik - Glass Bead- Mesin Bor Tanah atau SAMPLING, Hand Auger dan Bor Pertambangan : Bor Biopori, Bor Tanah, Soil Auger, Bor Banka, Bor Gambut, Bor Bibit, Bor Jacro, Bor Power Rig, Bor Pile, Bor Sumur, Bor Pasir, Bor Nikel, Bor Timah, Bor Sawit, Hand Auger, Hole Digger Auger, Sampler Auger, Soil Sampler Tube, Double Ring Sampler / Infiltration, Soil Sampler, Soil Core Sampler, Soil Probes, Soil Auger & Sampling Kit, Sediment & Water Sampling, Bor Hole Preparation Kit, Bailers, Basic Hand Auger Set, Geotechnical Sampling & Testing, Professional Soil Sampling Kit, Soil Auger & Cor Sampling Kit, Peat Soil Auger Kit, Rain Gauge, Bor Spiral, Gouge auger set, Standard Hand Auger Set, Panci Penguapan, Gear down hole and Accessories Part: - Core Barrel Assy ( PQ3, HQ3, NQ3) dan parts - Inner Tube Assy - Inner Tube, Split, Outer Tube - Over shot Assy dan parts ( produk Australia dll) , Hoisting Plug, Head Assy - Cap Assy - Chasing Shoe Bit - Drill rods, Casing pipe PQ3 ( HWT) , HQ3, NQ3 ( Merk Sandvik ( dari Eropa) , Australia, Crown, Asahi) - Diamond Bits Impreg - Tungsten Bit - Threewing bit - PCD Bit - Reamer Bit - Surface Step Bit - Water Swivel - Core Lifter Case - Core Lifter - Stop Ring - Shut of Valve - Stabilizer Ring - Adaptor Coupling - Locking Coupling - Inner Tube Wrench - Cross Sub - Saver Sub - Tricone Bit - Lifting Dog - Latch, Drilling Mud: - Polymer - Bentonite ( Ausgel/ Stargel) - Hivis ( CR-650) - Austroll - Baraswell Engine: - FMC Been Pump- ALAT KLIMATOLOGI, METEOROLOGI, HIDROLOGI DAN GEOFISIKA : Fiber Glass MastCRM-10, Meteorological Probe ( Temperature and Humidity Sensor) , Sangkar Meteorologi Ukuran Besar ( Weather-Shelter) , Alat Ukur Curah Hujan Otomastis ( Rain Recorder Tipe Hellmann) , Psychrometer With Maximum and Minimum Thermometer + Holder, Counter Anemometer DR A MULLER, LUTRON AM4206M Anemometer, LUTRON ABH4224 Anemometer, Trotec T210 Thermohygrometer, Wind Run Counter Anemometer, Sunshine Duration - Sensor CSD3, Wind Sensor compact, First Class Wind Velocity Sensor, Weather and Thermal Radiation Shield - Compact, Weather and Thermal Radiation Shield, Sangkar Meteorologi, Tinta untuk Sample Charts, Panci Penguapan ( Evaporation Pan) , Weighing Precipitation Gauge, Sample Charts: Barograph, Thermograph, Hygrograph dan Thermo-Hygrograph- PERLENGKAPAN MALARIALOGI : Sangkar Nyamuk - Mosquito Box - Mosquito Breeder - Tempat Telur Nyamuk - Bio Assay Kit - Tempat Makanan Nyamuk - Box Pin - Pinning Block - Aspirator Nyamuk - Killing Jar - Plastic Box - Insect Cabinet - Insect Drawer- MESIN PERTANIAN : Mesin Pengolahan Gula Semut - Mesin Pengolahan Limbah Kayu - Mesin Pengolahan Tapioka Singkong - Mesin Pengolahan Pemotongan Ayam - Mesin Pengolahan Pakan Ternak - Mesin Pengolahan Melinjo - Mesin Pengolahan Mete - Mesin Pengolahan Sorgum / Hermada - Mesin Pengolahan Kakao / Coklat - Mesin Pengolahan Kacang - Mesin Pengolahan Cabe - Mesin Pengolahan Kemiri - Mesin Pengolahan Teh - Mesin Pengolahan Minyak Atsiri - Mesin Pengolahan Kopi - Mesin Pengolahan Karet - Mesin Pengolahan Kedelai / Soya - Mesin Pengolahan Tahu - Mesin Pengolahan Tempe - Mesin Pengolahan Jagung - Mesin Pengolahan Jeruk - Mesin Pengolahan Mie - Mesin Pengolahan Kompos - Mesin Pengolahan Sagu - Mesin Pengolahan Sabut Kelapa - Mesin Pengolahan Briket - Mesin Pengolahan Apel - Mesin Pengolahan Jarak - Mesin Pengolahan Padi - Mesin Pengolahan Sawit - Mesin Pengolahan Kentang - Mesin Pengolahan Bawang - Mesin Pengolahan Tanah / Soil - Mesin Pengolahan Tebu - Mesin Pengolahan Pupuk Organik - Mesin Pengolahan Emas / Ballmill / Glundung - Mesin Pengolahan Limbah - Mesin Pengolahan Sampah - Mesin Pengolahan Fiber - Mesin Pengolahan Makanan - Mesin Pengolahan Kripik - Mesin Pengolahan Dodol - Mesin Press Uang - Mesin Ethanol - Mesin Cetak Batako Pressn- Mesin Cetak Paving / Conblock - Mesin Cetak Batako Apung - Mesin Batako Hebel - Aplikasi Teknologi Resin - Alat Panen Sagu - Alat Panen Karet - Alat Panen Sawit - Ubinan ( Alat Analisis) - Green House - Pembuatan Batu Penyosok, Pembuatan Batu Penyosok- PELATIHAN : Teknik Pengolahan Minyak Atsiri ° Teknik Pengolahan Ethanol ° Teknik Pengolahan Tahu ° Teknik Pengolahan Jeruk ° Teknik Pengolahan Emas ° Teknik Pengolahan Tepung ° Teknik Pengolahan VCO ° Teknik Pengolahan Gula Jagung ° Teknik Pengolahan Gula Singkong / Cassava- PERLENGKAPAN JALAN RAYA : Rambu Lalulintas - Rambu Pabrik - Rambu Kerja - Rambu Parkir - Lampu Lalulintas ( Traffic Light) - Delineator Post - Paku Jalan ( Road Stud) - Traffic Cone ( Rubber/ Plastic) - Cermin Lalulintas ( Safety Mirror) - Speed Gun - Road Barrier - Cat Thermoplastik - Glass Bead - Mesin Marka Jalan - Mesin Preheater ( pengaduk cat thermoplastik) - Mesin Marka Jalan Profil - Mesin Marka Jalan Cold Plastic - Mesin Penghapus Marka Jalan - Concrete Cutter - Cover Blade - High Frequency Converter - Tamping Rammer - Plate Compactor Ride-On Trowels - Mechanical Engine Vibrator - Internal Vibrator - Concrete Power Trowel - Generator Engine - Electric Concrete Vibrator- SOIL & ASPHALT COMPACTION : Vibratory Rammer / Tamping Rammer - Single Direction and Reversible Vibratoy Plates - RIde-on Vibratory Roller - Double Drum Vibratory Rollers ( baby Roller)- DEMOLITON :Asphalt / Concrete Cutter /Diamond Cutting Blade - Gasoline Cut-off Saws - Drilling Hammers, Breaker Hammers - Gasoline Engine Breaker / Chisel Tools, Peralatan Geology, Peralatan Pengairan, Peralatan Survey dan Pemetaan, Alat Alat Teknik Civil, - Concrete Vibrator, - Plate Compator, - Vibro Roller, - Mesin Vacuum Jalan, - Tamping Rammer, - Concrete Mixer- FABRIKASI STEEL STRUCTURE : Beam, platform, ladder, handrail, insert plate, conduit pipe bending, and Container Basket - Pagar Besi, Meja Inspeksi, Meja Laboratorium, Lemari Besi, Lemari Kayu, Lemari Alumunium, pekerjaan besi / steel; stainless; alumunium, dll.- Fabrikasi Tenda, Tenda Pleton, Tenda Pengungsi, Tenda Pramuka, Tenda Dapur, Tenda PMI, Tenda Komando, Tenda Regu, Pergola, Awning, dll- ALAT PERTANIAN : Arboriculture and Holticulture Tools and Machinery - Soil Moisture - Soil Thermometer - Wood Moisture Meter - Thermohygrometer - Grain Moisture Meter - Soil pH Meter - Soil Salinity Meter - Pocket Penetrometer - Soil test kit - Soil Munsell Chart - Soil NPK Tester - Soil Auger - Dodos, Agrek Egrek, Alat Panen Kelapa Sawit - Sadap, Deres, Ember Karet, Emposan Tikus, Perangkap Tikus, Kandang Nyamuk - Peralatan tes concrete, jalan, beton, Hand Bor / Auger, Bucket Auger, One-Piece Auger, Soil Sampling Auger, Soil Core, Bor Tanah, Bor Banka, Bor Pertambangan, Bor Sample Tanah, Bor Gambut, Bor Sawah, Bor Kebun, Bor Biopori, Bor Resapan, Standard Penetration Test, Sample Extruder, Sample Extruder Electric, Dynamic Cone Penetrometer, Corps of Engineer Soil Surface Sampler, Dutch Cone Penetrometer, Plate Bearing Test Set, Field CBR Test Set, Proving Ring Penetrometer, TVA Penetrometer, Liquid Limit Test Set, Plastic Limit Test Set, Shrinkage Limit Test Set, Steel Augr Bucket Sludge Sampler Kit, Split Core Sampler, Extendible Core Sampler Kit, Soil Gas Vapor Probe, Sand / loose Sediment Probe, Sediment Sampler, Soil Sampler Tube, Soil Profiler, Peralatan Kehutanan, Mesin Pertanian, Alat Pertanian, Alat Peternakan, Dll.Address;Jl. Raya Johar No.26 rt.005 rw.004Kel.Cibadak, Kec.Tanah SarealKota Bogor 16161Contact Person;0812 1314 0604 (Abdullah)0813 1421 0880 (Nuswan)Office;0251-8329302E-mail;info@globalindoteknikmandiri.co.idLinks;globalindoteknikmandiri.co.idglobalindoteknikmandiri.comcarialat.comcarialat.co.idalatmarkajalan.combengkelpertanian.compabrikfurnitur.comfurniturelab.co.idbortambang.commesinhebel.com            ","
              Jl. Raya Johar No.26 rt.005 rw.004 Kel.Cibadak, Kec.Tanah Sareal Kota Bogor 16161            ",Bogor,Jawa Barat,+62 812-1314-0604,None,None
Karoseri Kenka,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
Info Untuk Pembuatan Mobil:
Karoseri Box Pendingin Freezer,
Karoseri Box Pendingin Chiller, 
Karoseri Box Pendingin Frozen, 
Karoseri Box Cold Storage, 
Karoseri Box Refrigeration, 
Karoseri Box Cool Storage, 
Karoseri Box Fiber, 
Karoseri Box Cold Storage, 
aroseri Mobil Toko, 
Karoseri Food Truck, 
Karoseri Wingbox, 
Karoseri Box Besi, 
Karoseri Box Alumunium, 
Karoseri Self Loader, 
Karoseri Mixer, 
Karoseri Trailer, 
Karoseri Bak Besi, 
Karoseri Tangki, 
Karoseri Vacuum Tank .. dll
 
Hotline : 0812.951.888.53 / 0812.9696.3488
 
Note :
 
1.Harga yang tertera adalah batas minimum
2.Batas Minimum di tentukan dari unit yang digunakan ( Pick up - Medium Truck - Truck Besar )
3.Untuk type khusus, harga juga di tentukan dari perlengkapan yg di inginkan ","
              Jl M T Haryono Km 6,5 no 8 A 
Kelurahan Taman sari
Kecamatan Setu Bekasi            ",Bekasi,Jawa Barat,+62 812-9518-8853,None,None
CV. HERRY JAYA UTAMA,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
              CV. HERRY JAYA UTAMA ( freza_ wa@ yahoo.co.id) Sebagai Sole Agent / Distributor, Jual alat kesling / laboratorium product : Haz Dust, Wohler / woehler, Kimo Instruments, E Instruments, HI-Q, Staplex, Sensit Technologies, Vzor, Partech UK Instruments, dengan ini kami menjual peralatan sebagai berikut : MENJUAL : ALAT SAFETY ALAT TEHNIK CIPIL ALAT INSTRUMENTS ALAT LINGKUNGAN HIDUP ALAT KESEHATAN ALAT UJI AIR ( WATER TEST KIT ) ALAT UJI MAKANAN ( FOOD DETECTION KIT ) ALAT UKUR INTENSITAS SUARA SOUND LEVEL METER ALAT UKUR KEBISINGAN DI AREA KERJA ALAT LABORATURIUM KESEHATAN ALAT UJI EMISI / GAS BUANG INSENERATOR RANSEL TAS PUNGGUNG PEMADAM KEBAKARAN MICROSCOPE ALAT UKUR NOISE DOSIMETER ALAT UKUR KEBISINGAN PERSONAL VIBRATION METER ALAT UKUR GETARAN HUMIDITY METER ALAT UKUR KELEMBABAN ALAT UKUR SUHU ALAT UKUR KECEPATAN ALIRAN UDARA LUX METER ALAT UKUR INTENSITAS CAHAYA ALAT UKUR KEDALAMAN TANGKI MINYAK WBGT METER ALAT UKUR IKLIM KERJA DEEP STICk MIST BLOWER STIHL CHAINSAW STIHL TMBANGAN KURSI RODA SPECTROPHOTOMETER MICROSCOPE BLOOD LEAD TEST INCUBATOR WATER ANALYS Kami Juga Menyediakan IPAL untuk puskesmas atau rumah sakit.            ","
              Komplek Samudera Indonesia A3 no. 6 Jl. Tole Iskandar            ",Depok,Jawa Barat,+62 812-1226-5508,None,None
CV.changdong Indonesia,"
                                    PREMIUM GOLD
                                ",Perlengkapan Restaurant,"
CV.Changdong Indonesia di dirikan pada tgl 05 Mei 2007, Tujuan didirikan perusahaan adalah memproduksi mesin-mesin pertanian, perkebunan, perikanan, Industri Kecil Menengah dan Usaha Kecil Menengah. demi mendukung percepatan pertumbuhan ekonomi masyarakat menengah kebawah serta membuka lapangan kerja baru. Pada saat ini, CV.Changdong Indonesia memproduksi mesin-mesin pertanian antara lain :
- Power Thresher- Mesin Pengurai Sabut Kelapa- Mesin Pencacah Sampah Organik ( APPO)- Mesin Press Kemasan Hidrolik- Mesin Pres Kemasa- Mesin Pencetak Pellet- Mesin Press Batako- Mesin Paving Blok Hidrolik- Mesin Pencacah Plastik- Mesin Granulator- Mesin Press Bata Merah- Mesin Mixer- Mesin Pirolisis Arang- Mesin Gongsengan Kopi- Mesin Pemipil Jagung- Mesin Hammer Mill atau Penghalus Jagung- Dan masih banyak yang lainnya
Lokasi CV. Changdong Indonesia terletak di Jl. Gondang No.13 RT 01/RW 10 Kecamatan Mustika Jaya, Kota Bekasi -Jawa Barat  CV. Changdong Indonesia memilih bahan baku seperti Plat Mild steel, Kanal UNP, Plat Strip dan Besi Beton, Stainless steel dengan memilih kualitas yang baik. Dan kami juga menerima segala permintaan bahan baku dari setiap costumer kami. Didukung pula oleh Teknisi yang berpengalaman dan terlatih. Pada saat ini CV.Changdong Indonesia menghasilkan produk dan kapasitas disesuaikan dengan permintaan pasar. Konsumen CV.Changdong Indonesia adalah Petani, Pengusaha, Pemerintahan, Swasta dan Rekanan dari pemerintahan di seluruh Indonesia. Visi CV. ChangdongIndonesia: “ Mengutamakan kepuasan pelanggan atas layanan kami ” Misi CV. Changdong Indonesia : “ Meningkatkan mutu dan kualitas, Efisiensi yang ramah lingkungan ”Untuk Informasi Lebih Lanjut Hubungi
CV Changdong IndonesiaJl. Gondang No.13, RT 01/RW10 KecamatanMustika Jaya,Kota Bekasi -  Jawa Barat 17158Hp : 085287938886 - 081280097909 - 08788728889
 ","
              JL. Gondang No.13 Kec Mustika Jaya Kota Bekasi -  Jawa Barat             ",Bekasi,Jawa Barat,+62 852-8793-8886,None,None
